Image_Name,First_order_moment,,,Second_order_moment,,,Third_order_moment,,,class
 'Clean_water\\OIP (44).jpg',0.7981,1.4675,1.3463,0.1686,0.1842,0.2671,0.0067,0.0031,0.0061,Clean
 'Clean_water\\OIP (45).jpg',0.7019,1.6097,1.6054,0.2505,0.2417,0.254,0.0091,0.0085,0.0058,Clean
 'Clean_water\\OIP (46).jpg',0.7019,1.6097,1.6054,0.2505,0.2417,0.254,0.0091,0.0085,0.0058,Clean
 'Clean_water\\OIP (47).jpg',0.9242,1.7314,1.7951,0.2717,0.1811,0.1915,-0.0021,-0.0001,0,Clean
 'Clean_water\\OIP (48).jpg',1.0436,1.9551,1.8976,0.1988,0.1749,0.2486,0.0107,0.0022,-0.0034,Clean
 'Clean_water\\OIP (49).jpg',1.1854,2.0277,2.1585,0.1139,0.1185,0.1558,0.0012,-0.0035,-0.0013,Clean
 'Clean_water\\OIP (5).jpg',1.2983,1.8282,2.1143,0.2184,0.1707,0.1808,-0.0044,-0.0051,-0.0046,Clean
 'Clean_water\\OIP (50).jpg',1.2072,1.8881,1.9236,0.6045,0.261,0.2333,-0.0024,0.0023,-0.0002,Clean
 'Clean_water\\OIP (6).jpg',0.4252,1.539,1.8997,0.2637,0.1433,0.1358,0.0126,0.0071,0.0068,Clean
 'Clean_water\\OIP (7).jpg',0.707,2.1441,2.0739,0.1938,0.1546,0.1585,0.0043,0.0004,0.0016,Clean
 'Clean_water\\OIP (8).jpg',0.2253,1.8523,1.7668,0.1638,0.3058,0.3029,0.0182,-0.0302,-0.0307,Clean
 'Clean_water\\OIP (9).jpg',1.1205,2.0277,2.184,0.2274,0.1487,0.1021,-0.0001,-0.0002,0.0014,Clean
 'Clean_water\\OIP - 2022-11-12T155335.859.jpg',0.0841,1.0471,1.9418,0.0863,0.1624,0.1818,0.0133,0.002,0.0029,Clean
 'Clean_water\\OIP.jpg',0.3366,1.482,1.7791,0.2838,0.2866,0.2718,0.008,0.0041,0.0041,Clean
 'Mud_water\\eenshot (198).png',1.4941,1.3206,1.1067,0.1705,0.1778,0.1753,0.0011,0.0021,0.0027,Mud
 'Mud_water\\S.png',0.8914,1.1169,1.15,0.0977,0.0972,0.1092,-0.0054,-0.0068,-0.0052,Mud
 'Mud_water\\Sceenshot (204).png',1.4736,1.1668,0.8458,0.0574,0.0724,0.1556,0.0012,0.0011,-0.0006,Mud
 'Mud_water\\Screenhot (201).png',2.2063,2.0683,1.9926,0.2689,0.2828,0.3426,-0.0171,-0.0144,-0.013,Mud
 'Mud_water\\Screenhot (209).png',2.3043,1.9389,1.5292,0.2182,0.2495,0.3294,-0.0107,-0.0079,-0.0081,Mud
 'Mud_water\\Screensho(209).png',1.4473,1.1845,0.9038,0.2,0.2122,0.2205,-0.0068,-0.004,-0.0011,Mud
 'Mud_water\\Screenshot (197).png',1.8277,1.4782,1.1387,0.2667,0.2477,0.1899,-0.0013,-0.0013,-0.0021,Mud
 'Mud_water\\Screenshot (198).png',1.4493,1.2062,0.9263,0.1632,0.186,0.2294,-0.0008,0.0009,0.0012,Mud
 'Mud_water\\Screenshot (199).png',1.435,1.1515,1.0054,0.1949,0.2228,0.3126,0.0006,0.0004,0.0029,Mud
 'Mud_water\\Screenshot (199.png',1.777,1.5461,1.3411,0.3042,0.3627,0.3622,0.0021,0.0026,0.0033,Mud
 'Mud_water\\Screenshot (20).png',1.7177,1.5675,1.3774,0.4022,0.415,0.4302,-0.007,-0.0067,-0.0058,Mud
 'Mud_water\\Screenshot (202).png',1.1867,1.0616,0.9079,0.2313,0.2299,0.3191,0.0029,0.0051,0.0026,Mud
 'Mud_water\\Screenshot (203).png',1.3384,1.0716,0.8287,0.2396,0.3109,0.3917,-0.0039,-0.0015,0.0009,Mud
 'Mud_water\\Screenshot (204).png',1.6846,1.2433,0.8957,0.3385,0.277,0.2418,-0.0136,-0.0106,-0.006,Mud
 'Mud_water\\Screenshot (205).png',1.4947,1.2938,1.0425,0.119,0.1398,0.1878,-0.0063,-0.0082,-0.0099,Mud
 'Mud_water\\Screenshot (208).png',1.7232,1.4856,1.232,0.1682,0.1846,0.2243,-0.0131,-0.0111,-0.0086,Mud
 'Mud_water\\Screenshot (209).png',2.3913,1.8119,1.0041,0.0707,0.0847,0.1036,-0.0007,0.0023,0.0037,Mud
 'Mud_water\\Screenshot (21).png',1.6415,1.3377,1.1391,0.0921,0.0823,0.1031,-0.0092,-0.007,0.0004,Mud
 'Mud_water\\Screenshot (210).png',1.9926,1.6471,1.2507,0.1001,0.0933,0.1472,-0.0041,-0.0051,-0.0025,Mud
 'Mud_water\\Screenshot (212).png',1.446,1.2234,0.9374,0.1407,0.1685,0.2295,-0.0003,-0.0013,-0.0017,Mud
 'Mud_water\\Screenshot (213).png',1.5639,1.1294,0.6647,0.0828,0.0788,0.0727,-0.0032,-0.0006,0.0031,Mud
 'Mud_water\\Screenshot (214).png',1.4484,1.4251,1.4305,0.2779,0.2738,0.291,-0.0037,-0.004,-0.0043,Mud
 'Mud_water\\Screenshot (215).png',1.4717,1.2634,0.8168,0.0577,0.0491,0.0318,-0.0036,-0.0028,-0.0073,Mud
 'Mud_water\\Screenshot (216).png',1.8622,1.6403,1.2183,0.2071,0.2654,0.3375,-0.0178,-0.0128,-0.0092,Mud
 'Mud_water\\Screenshot (217).png',1.6621,0.8653,0.5892,0.2835,0.1884,0.1703,-0.0147,-0.0062,-0.003,Mud
 'Mud_water\\Screenshot (219).png',1.7191,1.2519,0.6753,0.1389,0.1787,0.2424,0.007,0.0077,0.0071,Mud
 'Mud_water\\Screenshot (29).png',1.4833,1.1793,0.8961,0.1603,0.1956,0.2724,0.0038,0.0054,0.0051,Mud
 'Mud_water\\Screenshot 214).png',1.9869,1.5976,1.1081,0.142,0.144,0.1583,-0.0034,-0.0027,-0.0023,Mud
 'Mud_water\\Screensht (205).png',1.1818,1.187,1.2592,0.3263,0.3034,0.4051,-0.0022,0.002,0.0032,Mud
 'Mud_water\\Screensht (206).png',1.5314,1.4934,1.3354,0.1464,0.1417,0.1562,0.0021,0.0028,0.0052,Mud
 'Mud_water\\Screensht (208).png',1.4689,1.1426,0.8654,0.1277,0.1341,0.1408,-0.003,-0.0022,0.0007,Mud
 'Mud_water\\Screensot (207).png',1.3624,1.0607,0.6647,0.2017,0.2631,0.3341,0.0172,0.019,0.019,Mud
 'Mud_water\\Screensot (211).png',2.0579,1.6943,0.7521,0.3045,0.2353,0.1886,-0.0087,-0.0074,0.004,Mud
 'Mud_water\\Screensot (214).png',1.9853,1.5848,1.3232,0.0862,0.0662,0.1633,-0.0035,-0.0039,-0.0022,Mud
 'Mud_water\\Screenst (208).png',1.9598,1.7469,1.4369,0.2727,0.1863,0.2148,-0.0024,-0.0019,-0.0003,Mud
 'Mud_water\\Screeshot (205).png',1.5912,1.1313,0.6165,0.0544,0.0583,0.0812,0.0004,-0.0002,0.0012,Mud
 'Mud_water\\Screeshot (217).png',1.9559,1.5324,1.23,0.1783,0.2919,0.3583,0.0008,0.0055,0.0079,Mud
 'Mud_water\\t (87).png',1.8733,1.722,1.5205,0.0751,0.0761,0.0828,-0.001,-0.0009,-0.0021,Mud
 'Mud_water\\IMG-3515.jpg',1.3937,1.543,1.368,0.5324,0.5314,0.6617,0.0022,0.0017,0.0023,Mud
 'Mud_water\\OIP.jpg',1.7239,1.5934,1.5208,0.329,0.3029,0.2967,-0.02,-0.018,-0.0139,Mud
 'Mud_water\\R.jpg',1.5322,1.3753,1.1875,0.534,0.5577,0.6281,-0.0075,-0.002,0.0008,Mud
 'Mud_water\\th (1).jpg',1.6109,1.367,1.1943,0.2008,0.2121,0.2271,0.0044,0.0141,0.0115,Mud
 'Mud_water\\th (10).jpg',1.714,1.5249,1.3301,0.2455,0.2969,0.3763,-0.005,-0.004,-0.004,Mud
 'Mud_water\\th (100).jpg',2.29,1.5098,1.2395,0.2382,0.137,0.234,-0.0161,-0.0101,0.0014,Mud
 'Mud_water\\th (11).jpg',1.8786,1.7171,1.5002,0.1918,0.1981,0.2319,-0.0123,-0.0109,-0.0049,Mud
 'Mud_water\\th (12).jpg',1.3958,1.2444,1.1585,0.1608,0.1674,0.1907,0.0343,0.0363,0.0313,Mud
 'Mud_water\\th (13).jpg',1.7188,1.3998,0.9531,0.1418,0.1553,0.2325,0.0188,0.0211,0.0148,Mud
 'Mud_water\\th (14).jpg',1.5402,1.2164,0.8433,0.2752,0.2787,0.366,-0.0058,0.0006,0.0047,Mud
 'Mud_water\\th (15).jpg',1.6793,1.4974,1.3085,0.0656,0.0774,0.0998,0.0478,0.0551,0.0293,Mud
 'Mud_water\\th (16).jpg',1.7147,1.51,1.2711,0.163,0.194,0.2587,-0.0127,-0.0093,-0.0069,Mud
 'Mud_water\\th (17).jpg',1.6974,1.6972,1.763,0.1869,0.2615,0.3714,-0.0035,-0.0057,-0.0076,Mud
 'Mud_water\\th (18).jpg',1.4877,1.406,1.2533,0.1487,0.1564,0.1894,-0.0014,-0.0013,-0.0012,Mud
 'Mud_water\\th (19).jpg',1.5374,1.479,1.4289,0.3033,0.3431,0.4578,0.005,0.0039,0.0025,Mud
 'Mud_water\\th (2).jpg',1.8822,1.7646,1.5708,0.1695,0.1936,0.2583,0.0062,0.008,0.0062,Mud
 'Mud_water\\th (20).jpg',1.8952,1.8204,1.7318,0.0644,0.0974,0.1891,-0.0037,-0.001,0.002,Mud
 'Mud_water\\th (21).jpg',1.8024,1.8682,1.8779,0.1871,0.1884,0.2069,-0.0036,-0.0037,-0.0031,Mud
 'Mud_water\\th (22).jpg',1.6558,1.5336,1.4217,0.1676,0.1994,0.2739,-0.0025,-0.002,-0.0056,Mud
 'Mud_water\\th (23).jpg',2.2484,2.1032,1.8899,0.1335,0.1744,0.2414,-0.0054,-0.0035,-0.0026,Mud
 'Mud_water\\th (24).jpg',1.4692,1.4375,1.3851,0.0964,0.1026,0.111,-0.002,-0.003,-0.004,Mud
 'Mud_water\\th (25).jpg',1.7257,1.6567,1.5685,0.1053,0.1133,0.1784,-0.0032,0.0024,0.003,Mud
 'Mud_water\\th (26).jpg',1.3863,1.2324,1.0353,0.3083,0.317,0.3729,-0.0004,0.0019,0.0049,Mud
 'Mud_water\\th (27).jpg',1.4723,1.2541,1.0795,0.2225,0.2286,0.2209,0.0002,0.0009,0.0006,Mud
 'Mud_water\\th (28).jpg',2.1337,1.8164,1.2872,0.2862,0.2519,0.218,-0.0039,-0.0025,0.0015,Mud
 'Mud_water\\th (29).jpg',1.3043,0.8922,0.52,0.307,0.2366,0.1704,0,0.0013,0.0039,Mud
 'Mud_water\\th (3).jpg',1.5227,1.4334,1.4174,0.1101,0.1115,0.131,-0.0046,-0.001,-0.0007,Mud
 'Mud_water\\th (30).jpg',1.9616,1.7196,1.3606,0.234,0.285,0.4004,-0.006,-0.0029,0.0003,Mud
 'Mud_water\\th (31).jpg',1.5994,1.4009,1.1823,0.1505,0.1922,0.2981,0.0067,0.0094,0.009,Mud
 'Mud_water\\th (32).jpg',1.6921,1.3848,1.0591,0.1581,0.1627,0.1961,-0.0007,0.0002,0.0002,Mud
 'Mud_water\\th (33).jpg',1.5127,1.1482,1.1555,0.1775,0.1844,0.2471,-0.0029,-0.0027,-0.0035,Mud
 'Mud_water\\th (34).jpg',1.9794,1.6956,1.3267,0.0606,0.0646,0.1079,-0.0048,-0.0026,-0.002,Mud
 'Mud_water\\th (35).jpg',1.6424,1.2937,0.9761,0.5444,0.5133,0.4134,-0.0081,-0.0076,-0.0063,Mud
 'Mud_water\\th (36).jpg',2.0471,1.8878,1.5907,0.1559,0.2298,0.323,-0.0107,-0.0056,-0.0031,Mud
 'Mud_water\\th (37).jpg',1.4764,1.2197,1.0283,0.1772,0.2688,0.3546,-0.0004,-0.001,-0.0009,Mud
 'Mud_water\\th (38).jpg',1.6855,1.4243,1.1917,0.261,0.2402,0.26,-0.0144,-0.0111,-0.0068,Mud
 'Mud_water\\th (39).jpg',1.8763,1.542,1.2471,0.1604,0.153,0.1835,-0.0056,-0.0015,-0.0046,Mud
 'Mud_water\\th (4).jpg',1.7292,1.6493,1.5618,0.2079,0.2597,0.3106,-0.0085,-0.0076,-0.0072,Mud
 'Mud_water\\th (40).jpg',1.5132,1.2437,1.0783,0.1229,0.1551,0.1693,0.0132,0.0128,0.0078,Mud
 'Mud_water\\th (41).jpg',1.6788,1.5106,1.3594,0.3111,0.3724,0.4764,0.0006,0.0005,0.0003,Mud
 'Mud_water\\th (42).jpg',1.5779,1.4573,1.3187,0.1384,0.1673,0.1969,-0.0018,-0.0028,-0.0032,Mud
 'Mud_water\\th (43).jpg',2.0046,1.7929,1.4441,0.136,0.1822,0.244,-0.0107,-0.0067,-0.003,Mud
 'Mud_water\\th (44).jpg',0.99,0.7188,0.5784,0.1968,0.2055,0.2326,0.0022,0.007,0.0117,Mud
 'Mud_water\\th (45).jpg',1.7801,1.4398,1.0669,0.1,0.153,0.2556,-0.0033,0.0029,0.0073,Mud
 'Mud_water\\th (46).jpg',1.9243,1.3478,0.7327,0.1018,0.1475,0.2553,0.0065,0.0053,0.0017,Mud
 'Mud_water\\th (47).jpg',1.699,1.3912,0.7568,0.1686,0.1868,0.2734,0.0133,0.0118,0.0083,Mud
 'Mud_water\\th (48).jpg',1.1793,0.8861,0.2703,0.17,0.1775,0.2679,-0.0022,0.0009,0.0055,Mud
 'Mud_water\\th (49).jpg',1.488,1.3717,1.2734,0.2092,0.2326,0.2832,-0.0026,-0.0008,-0.0002,Mud
 'Mud_water\\th (5).jpg',1.4625,1.3478,1.2016,0.3109,0.3572,0.4449,0.0045,0.0044,0.004,Mud
 'Mud_water\\th (50).jpg',1.2992,1.0929,0.6354,0.1942,0.2126,0.2835,0.0512,0.059,0.0549,Mud
 'Mud_water\\th (51).jpg',1.0183,0.711,0.4094,0.2196,0.3007,0.3325,0.005,0.0003,0.0026,Mud
 'Mud_water\\th (52).jpg',1.9021,1.7316,1.6257,0.2245,0.3195,0.4372,-0.014,-0.0115,-0.0103,Mud
 'Mud_water\\th (53).jpg',1.6309,1.3555,1.0168,0.1668,0.2202,0.2643,-0.0028,0.0015,0.0027,Mud
 'Mud_water\\th (54).jpg',1.9589,1.5846,1.2603,0.1892,0.1859,0.2071,-0.0045,-0.0034,-0.0007,Mud
 'Mud_water\\th (55).jpg',1.5806,1.3086,1.0251,0.202,0.2204,0.2453,-0.0021,-0.0008,0.0004,Mud
 'Mud_water\\th (56).jpg',1.1674,0.9219,0.5472,0.1124,0.1234,0.1642,0.0154,0.0138,0.0054,Mud
 'Mud_water\\th (57).jpg',1.7633,1.4651,1.2316,0.7449,0.6322,0.5474,-0.017,-0.0159,-0.0141,Mud
 'Mud_water\\th (58).jpg',1.4012,1.1799,0.8973,0.1544,0.1818,0.2327,0.0017,-0.0002,-0.0013,Mud
 'Mud_water\\th (59).jpg',1.7004,1.178,0.1311,0.1163,0.1176,0.1165,0.0021,0.0088,0.0311,Mud
 'Mud_water\\th (6).jpg',1.4122,1.2534,1.0558,0.1677,0.1914,0.2331,0.0097,0.0104,0.0097,Mud
 'Mud_water\\th (60).jpg',1.433,1.0521,0.6611,0.0724,0.0634,0.0728,0.002,0.0033,0.0034,Mud
 'Mud_water\\th (61).jpg',1.5847,1.2427,0.8005,0.1388,0.1492,0.1648,0.001,0.0055,0.009,Mud
 'Mud_water\\th (62).jpg',1.3151,1.2564,1.0056,0.3317,0.4531,0.7008,0.0041,0.0041,0.0041,Mud
 'Mud_water\\th (63).jpg',1.447,1.2909,0.9066,0.2574,0.2906,0.3122,-0.0024,-0.0027,-0.002,Mud
 'Mud_water\\th (64).jpg',1.2688,1.144,0.8848,0.1218,0.1155,0.1432,0.0026,0.0046,0.0008,Mud
 'Mud_water\\th (65).jpg',1.4962,1.3697,1.0985,0.2518,0.2921,0.3873,0.0166,0.0176,0.0168,Mud
 'Mud_water\\th (67).jpg',1.476,1.1508,0.7165,0.2497,0.2239,0.2426,0.0008,0.0022,0.0046,Mud
 'Mud_water\\th (68).jpg',1.6008,1.5687,1.4801,0.1901,0.1736,0.2182,-0.0042,-0.0029,0.0038,Mud
 'Mud_water\\th (69).jpg',1.4665,1.2611,0.7965,0.2669,0.2884,0.3489,0.0046,0.0055,0.0047,Mud
 'Mud_water\\th (7).jpg',1.8371,1.7194,1.5357,0.3195,0.3206,0.3392,-0.0055,-0.0047,-0.0051,Mud
 'Mud_water\\th (70).jpg',1.4048,1.2986,1.2242,0.1068,0.1326,0.1967,-0.001,-0.0021,-0.0043,Mud
 'Mud_water\\th (71).jpg',1.3451,1.2198,0.9644,0.3708,0.3342,0.369,-0.0079,-0.0059,0.0055,Mud
 'Mud_water\\th (72).jpg',1.4877,1.3738,1.3733,0.3736,0.4331,0.4648,0.0095,0.0104,0.0032,Mud
 'Mud_water\\th (73).jpg',1.686,1.4925,1.0893,0.2681,0.2697,0.2282,-0.0134,-0.0077,-0.0034,Mud
 'Mud_water\\th (74).jpg',1.6152,1.2994,1.067,0.1666,0.2539,0.3322,-0.0014,0.003,0.0052,Mud
 'Mud_water\\th (75).jpg',2.2234,1.8384,1.4439,0.0811,0.1326,0.2209,-0.0118,-0.002,-0.001,Mud
 'Mud_water\\th (76).jpg',1.5611,1.4139,1.4158,0.2929,0.3868,0.4351,0.0033,0.003,0.0032,Mud
 'Mud_water\\th (77).jpg',2.1755,1.6661,1.3429,0.086,0.1358,0.184,0.0002,0.0048,0.0057,Mud
 'Mud_water\\th (78).jpg',1.4009,1.2986,1.1624,0.2859,0.3303,0.405,0.0023,0.0024,0.0019,Mud
 'Mud_water\\th (79).jpg',1.8146,1.6471,1.4772,0.1675,0.1839,0.2179,0.0007,0.0008,0.0004,Mud
 'Mud_water\\th (8).jpg',1.747,1.5773,1.1335,0.0801,0.0926,0.106,0.0011,0.0012,0.0012,Mud
 'Mud_water\\th (80).jpg',2.1532,1.8871,1.7165,0.1545,0.2894,0.3852,-0.0034,-0.0054,-0.0061,Mud
 'Mud_water\\th (81).jpg',1.374,1.1931,1.136,0.1491,0.174,0.1982,-0.0024,-0.0011,-0.0007,Mud
 'Mud_water\\th (82).jpg',1.3213,0.9931,0.8243,0.1393,0.1903,0.2793,-0.0064,0.0043,0.0026,Mud
 'Mud_water\\th (83).jpg',1.745,1.4014,1.3209,0.1389,0.204,0.2549,0.0302,0.0376,0.0252,Mud
 'Mud_water\\th (84).jpg',1.4148,1.2648,1.0704,0.2441,0.257,0.2717,0.0046,0.0049,0.0053,Mud
 'Mud_water\\th (85).jpg',1.5493,1.2277,0.8809,0.1669,0.1618,0.1815,-0.02,-0.0166,-0.0098,Mud
 'Mud_water\\th (86).jpg',1.5378,1.2207,0.878,0.1868,0.1705,0.1876,-0.0196,-0.0163,-0.01,Mud
 'Mud_water\\th (87).jpg',1.5712,1.4282,1.4336,0.3142,0.4081,0.4646,0.0024,0.0023,0.0024,Mud
 'Mud_water\\th (88).jpg',1.5226,1.3571,1.2845,0.1804,0.2412,0.3097,-0.0041,-0.0035,-0.0047,Mud
 'Mud_water\\th (89).jpg',2.1192,1.8812,1.7814,0.1258,0.1751,0.2031,0.0001,-0.0009,-0.0016,Mud
 'Mud_water\\th (9).jpg',1.3793,1.3012,1.1239,0.1931,0.1944,0.2034,0.0024,0.0028,0.0029,Mud
 'Mud_water\\th (90).jpg',1.0783,0.9351,0.745,0.1421,0.1827,0.2337,-0.0032,-0.0003,0.0035,Mud
 'Mud_water\\th (91).jpg',1.6213,1.3184,1.1894,0.1867,0.2544,0.3089,0.0047,0.0017,0.0004,Mud
 'Mud_water\\th (92).jpg',1.4425,1.3231,1.2605,0.1718,0.1988,0.2328,-0.0022,-0.0015,-0.0031,Mud
 'Mud_water\\th (93).jpg',1.7462,1.3122,1.0456,0.1442,0.1796,0.2248,-0.0023,-0.0008,0.0009,Mud
 'Mud_water\\th (94).jpg',1.8734,1.4464,1.1901,0.1316,0.1201,0.1238,-0.0039,-0.0013,0.0011,Mud
 'Mud_water\\th (95).jpg',1.6044,1.3353,1.064,0.1698,0.1495,0.2051,-0.0091,-0.0035,0,Mud
 'Mud_water\\th (96).jpg',1.7909,1.3711,1.1129,0.1447,0.1502,0.1986,-0.0095,-0.0085,-0.009,Mud
 'Mud_water\\th (97).jpg',1.4915,1.2438,1.2361,0.1872,0.1926,0.2452,0.0013,0.004,0.0029,Mud
 'Mud_water\\th (98).jpg',1.6486,1.3578,1.088,0.1467,0.1933,0.2601,0.0213,0.0181,0.0088,Mud
 'Mud_water\\th (99).jpg',1.3063,1.205,1.159,0.1261,0.187,0.2479,-0.0004,0.0012,0.0001,Mud
 'Mud_water\\th - 2022-11-15T064902.500.jpg',1.6179,1.3557,1.1192,0.1958,0.1782,0.1602,0.0013,0.0023,0.0024,Mud
 'Mud_water\\th - 2022-11-15T064911.843.jpg',1.8351,1.378,0.755,0.1658,0.1866,0.2235,0.0092,0.0308,0.0378,Mud
 'Mud_water\\th - 2022-11-15T064923.731.jpg',1.9485,1.4448,0.9871,0.0608,0.0926,0.1321,0.0033,0.0035,0.0048,Mud
 'Mud_water\\th - 2022-11-15T064939.172.jpg',1.3856,1.0845,0.9267,0.1825,0.2346,0.2691,-0.0011,0.0018,0.0028,Mud
 'Mud_water\\th - 2022-11-15T064950.654.jpg',1.676,1.2005,0.9245,0.103,0.1531,0.1821,-0.0041,-0.0026,-0.0029,Mud
 'Mud_water\\th - 2022-11-15T065000.000.jpg',1.9468,1.7323,1.7334,0.2974,0.4661,0.611,0.0035,0.0059,0.0042,Mud
 'Mud_water\\th - 2022-11-15T065009.750.jpg',1.6955,1.4696,1.2025,0.0783,0.1644,0.2622,-0.0009,0.0006,0.002,Mud
 'Mud_water\\th - 2022-11-15T065017.935.jpg',1.5385,1.2638,1.0567,0.1603,0.2904,0.4219,-0.0002,0.0034,0.0041,Mud
 'Mud_water\\th - 2022-11-15T065026.603.jpg',1.3005,1.0847,0.9649,0.1854,0.2086,0.2353,0.0132,0.012,0.0075,Mud
 'Mud_water\\th - 2022-11-15T065042.663.jpg',1.5076,1.4064,1.4432,0.131,0.1669,0.1955,-0.0047,-0.0025,-0.0022,Mud
 'Mud_water\\th - 2022-11-15T065054.094.jpg',1.9832,1.6426,1.2254,0.0664,0.1291,0.2239,-0.0047,0.0012,0.0021,Mud
 'Mud_water\\th - 2022-11-15T065103.762.jpg',1.9501,1.5965,1.2535,0.2563,0.2633,0.3087,-0.0074,-0.0038,-0.0011,Mud
 'Mud_water\\th - 2022-11-15T065114.425.jpg',1.7179,1.5063,1.3741,0.0918,0.1691,0.2605,-0.0008,0.0004,0.0009,Mud
 'Mud_water\\th - 2022-11-15T065125.208.jpg',1.5201,1.2632,1.1153,0.1365,0.1931,0.2415,0.0043,0.0073,0.0068,Mud
 'Mud_water\\th - 2022-11-15T065137.543.jpg',1.8612,1.5766,1.4613,0.1532,0.2141,0.2606,-0.0049,-0.0028,-0.0028,Mud
 'Mud_water\\th - 2022-11-15T065147.684.jpg',1.7864,1.561,1.3464,0.1747,0.1876,0.2216,0.008,0.009,0.0082,Mud
 'Mud_water\\th - 2022-11-15T065158.953.jpg',1.8114,1.3336,0.9831,0.0693,0.0979,0.1612,0.0048,0.0065,0.0062,Mud
 'Mud_water\\th - 2022-11-15T065208.434.jpg',2.1793,1.826,1.4557,0.1514,0.1825,0.2476,0.0032,0.0049,0.0005,Mud
 'Mud_water\\th - 2022-11-15T065218.308.jpg',1.756,1.1402,0.8621,0.1623,0.2524,0.3156,0.0053,0.0131,0.0079,Mud
 'Mud_water\\th - 2022-11-15T065227.245.jpg',2.0826,1.4112,1.2534,0.0614,0.1486,0.2093,-0.0082,-0.0044,-0.0031,Mud
 'Mud_water\\th - 2022-11-15T065236.694.jpg',1.8863,1.6895,1.6152,0.0749,0.1195,0.1257,0.0473,0.0223,0.0213,Mud
 'Mud_water\\th - 2022-11-15T065245.748.jpg',2.1162,1.661,1.2846,0.1461,0.2023,0.2652,-0.0017,0.0015,0.0015,Mud
 'Mud_water\\th - 2022-11-15T065256.582.jpg',1.9158,1.7054,1.3792,0.1794,0.202,0.2693,-0.0106,-0.0101,-0.0123,Mud
 'Mud_water\\th - 2022-11-15T065306.821.jpg',1.721,1.4563,1.2341,0.138,0.1816,0.2328,-0.0085,-0.0028,-0.0029,Mud
 'Mud_water\\th - 2022-11-15T065318.415.jpg',2.3364,2.1624,2.0202,0.053,0.0843,0.1433,-0.0112,-0.001,-0.0025,Mud
 'Mud_water\\th - 2022-11-15T065338.920.jpg',1.4951,1.2147,0.9538,0.2189,0.265,0.3718,-0.0099,-0.0073,-0.0061,Mud
 'Mud_water\\th - 2022-11-15T065348.464.jpg',1.6822,1.5195,1.3947,0.1751,0.1827,0.2216,-0.0114,-0.0097,-0.0097,Mud
 'Mud_water\\th - 2022-11-15T065358.092.jpg',1.828,1.7443,1.7096,0.1415,0.1567,0.2075,-0.007,-0.0023,-0.0015,Mud
 'Mud_water\\th - 2022-11-15T065410.423.jpg',1.7345,1.4532,1.2404,0.0736,0.0995,0.1254,0.0897,0.0604,0.0404,Mud
 'Mud_water\\th - 2022-11-15T065418.841.jpg',2.0344,1.6993,1.3973,0.2155,0.2209,0.2611,-0.007,0.0014,-0.003,Mud
 'Mud_water\\th - 2022-11-15T065428.520.jpg',1.4344,1.1995,1.0942,0.1922,0.2229,0.2449,0.0088,0.0084,0.0071,Mud
 'Mud_water\\th - 2022-11-15T065736.925.jpg',1.3754,1.1891,1.1321,0.1531,0.1779,0.2058,-0.002,-0.0009,-0.0013,Mud
 'Mud_water\\th - 2022-11-15T065746.824.jpg',2.1443,1.8429,1.6544,0.1632,0.2894,0.3821,-0.0024,-0.0033,-0.0042,Mud
 'Mud_water\\th - 2022-11-15T065756.596.jpg',1.8033,1.633,1.4615,0.1571,0.1715,0.2026,0.0012,0.0014,0.0008,Mud
 'Mud_water\\th - 2022-11-15T065804.577.jpg',1.3206,1.1996,1.0347,0.2435,0.2758,0.3364,0.003,0.0034,0.0032,Mud
 'Mud_water\\th - 2022-11-15T065813.266.jpg',2.1684,1.6463,1.3123,0.0694,0.1118,0.1541,0.0007,0.0042,0.0057,Mud
 'Mud_water\\th - 2022-11-15T065823.831.jpg',1.5292,1.3713,1.3681,0.2645,0.3548,0.3982,0.0041,0.0038,0.004,Mud
 'Mud_water\\th - 2022-11-15T065834.850.jpg',2.2245,1.8211,1.3991,0.0654,0.1257,0.2061,-0.0003,-0.0003,0.0002,Mud
 'Mud_water\\th - 2022-11-15T065843.633.jpg',1.6182,1.3137,1.0902,0.1818,0.267,0.3513,-0.006,0.0016,0.0042,Mud
 'Mud_water\\th - 2022-11-15T065914.616.jpg',2.2456,1.4827,1.2109,0.2786,0.1659,0.2487,-0.0146,-0.011,0.0008,Mud
 'Mud_water\\th - 2022-11-15T065922.517.jpg',1.6277,1.3633,1.1222,0.1976,0.1806,0.1674,0.0011,0.0024,0.002,Mud
 'Mud_water\\th - 2022-11-15T065930.796.jpg',1.8234,1.3872,0.7868,0.2456,0.227,0.2598,-0.0096,0.0025,0.0135,Mud
 'Mud_water\\th - 2022-11-15T065940.084.jpg',1.9449,1.4382,0.9759,0.0591,0.0881,0.1237,0.0037,0.004,0.005,Mud
 'Mud_water\\th - 2022-11-15T065948.112.jpg',1.417,1.1331,0.9843,0.1952,0.2637,0.3059,-0.0016,0.0016,0.0026,Mud
 'Mud_water\\th - 2022-11-15T065956.201.jpg',1.6591,1.1873,0.9152,0.1965,0.2109,0.2243,-0.0154,-0.0109,-0.0087,Mud
 'Mud_water\\th - 2022-11-15T070005.428.jpg',1.8603,1.6412,1.6314,0.3636,0.5041,0.6401,-0.0068,-0.0003,0.0006,Mud
